Unnamed: 0,Iron & steel,Chemicals,Non-metallic minerals
Overall Demand,13243.3408437119,90128.72669013613,68997.85229934375
Hydrogen,13243.3408437119,,
Methanol,,17735.20673439476,
Ammonia,,72393.51995574137,
Biomass,,,53232.37434478001
Biogas,,,8729.165654598692
Other,,,7036.312299965055
